TIPO,ID_PARAFRASEADO,ID_ORIGINAL,TITULO_ORIGINAL,TITULO_PARAFRASEADO,DESCRIPCION_ORIGINAL,DESCRIPCION_PARAFRASEADA,URL_IMAGEN_ORIGINAL,URL_IMAGEN_PARAFRASEADO,FECHA_ORIGINAL,FECHA_PUBLICACION,CATEGORIA,SITIO_DESTINO,CONTENIDO_ORIGINAL_PREVIEW,CONTENIDO_PARAFRASEADO_PREVIEW,COINCIDE_IMAGEN,COINCIDE_CATEGORIA
PARAFRASEADO,"86f94bdc-9ab3-4318-8c9e-e2d68f5101c4","60fca9ce-4dce-4fd0-8d33-f891b66aaaf7","‘No estamos regateando nada’: PRI niega reconocimiento al gobierno por abatimiento de ‘El Mencho’","‘No estamos regateando nada’: PRI niega reconocimiento al gobierno por abatimiento de ‘El Mencho’","N/A","‘No estamos regateando nada’: PRI niega reconocimiento al gobierno por abatimiento de ‘El Mencho’","https://www.elfinanciero.com.mx/resizer/v2/5HXWZNASP5AJTLVCZV7G4Z2OT4.jpg?smart=true&auth=81f540b88865e325bf83d2b19f99925ba992335b3b666501c2ec5964921c819d&width=1200&height=630","https://www.elfinanciero.com.mx/resizer/v2/5HXWZNASP5AJTLVCZV7G4Z2OT4.jpg?smart=true&auth=81f540b88865e325bf83d2b19f99925ba992335b3b666501c2ec5964921c819d&width=1200&height=630","2026-02-24T01:12:15Z","2026-02-24T01:12:15Z","POLITICA","radiocinconoticias,cbnnoticias,nodoinformativo,tvmexico,verticenoticias,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx","El PRI en el Senado se negó a reconocer al gobierno federal por la caída de Nemesio Oseguera, ‘El Mencho’, líder del Cártel Jalisco Nueva Generación (CJNG) , y criticó la falta de estrategia para cont","<p>El PRI en el Senado se negó a reconocer al gobierno federal por la caída de Nemesio Oseguera, ‘El Mencho’, líder del Cártel Jalisco Nueva Generación (CJNG), y criticó la falta de estrategia para co",SI,SI
PARAFRASEADO,"e6da6f1c-e654-4cbd-91e9-dd2b3e992e63","49ce677a-e877-47e5-8c06-8490b37909fd","FedEx demanda al Gobierno de EEUU y reclama el ""reembolso completo"" de los aranceles anulados","FedEx demanda al Gobierno de EEUU y reclama el ""reembolso completo"" de los aranceles anulados","N/A","FedEx demanda al Gobierno de EEUU y reclama el ""reembolso completo"" de los aranceles anulados","https://e01-phantom-expansion.uecdn.es/d26837b6c97ea84cde36a92c66cdb528/crop/82x103/1943x1344/resize/1200/f/webp/assets/multimedia/imagenes/2026/02/24/17718938756548.jpg","https://e01-phantom-expansion.uecdn.es/d26837b6c97ea84cde36a92c66cdb528/crop/82x103/1943x1344/resize/1200/f/webp/assets/multimedia/imagenes/2026/02/24/17718938756548.jpg","2026-02-24T00:45:05Z","2026-02-24T00:45:05Z","POLITICA","radiocinconoticias,cbnnoticias,nodoinformativo,tvmexico,verticenoticias,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx","La empresa de mensajería estadounidense FedEx demandó este lunes al Gobierno de EEUU para reclamarle el ""reembolso completo"" de los aranceles impuestos por el presidente estadounidense, Donald Trump, ","<p>La empresa de mensajería estadounidense FedEx demandó este lunes al Gobierno de EEUU para reclamarle el ""reembolso completo"" de los aranceles impuestos por el presidente estadounidense, Donald Trum",SI,SI
PARAFRASEADO,"7cdbce09-7502-41f3-b9f1-09bfc678b995","d63698c7-1d2b-4509-898e-2f67067c1f74","N/A","""Decisiva ejecución"": EE. UU. elogia a México por ""eliminación"" del 'Mencho'","N/A","El Departamento de Estado de EE. UU. elogió al Gobierno mexicano por el operativo que condujo a la muerte de Nemesio Oseguera Cervantes, alias 'El Mencho', cabecilla del Cártel Jalisco Nueva Generación (CJNG), quien encabezaba la lista de los narcotraficantes más buscados por las autoridades estadoun...","N/A","/logo.png","N/A","2026-02-23T23:55:32Z","Nacional","noticiasobjetivo",,"El Departamento de Estado de EE. UU. elogió al Gobierno mexicano por el operativo que condujo a la muerte de Nemesio Oseguera Cervantes, alias 'El Mencho', cabecilla del Cártel Jalisco Nueva Generació",NO,NO
PARAFRASEADO,"95b461ac-4da8-417d-9272-609a1a2b117a","2b597064-c80d-4faa-a4bb-7ccc91180337","N/A","Celular gama media con cámara de 108 megapixeles y resistencia al agua. Puedes ampliar su memoria con microSD","N/A","Eric Ramirez Eric Ramirez Desde que tengo memoria, siempre he querido saber los 'porqué' detrás de los gadgets. También soy el chico de los cupones, que busca ofertas hasta en lugares insospechados. Mi pasión por la tecnología me ha llevado a lugares increíbles y ahora tengo la oportunidad de esta...","N/A","/logo.png","N/A","2026-02-23T23:51:40Z","Nacional","mexicoinformado",,"Eric Ramirez Eric Ramirez Desde que tengo memoria, siempre he querido saber los 'porqué' detrás de los gadgets. También soy el chico de los cupones, que busca ofertas hasta en lugares insospechados. M",NO,NO
PARAFRASEADO,"ba289daa-dd45-457f-8cd4-a680cf5940aa","da03fab4-8b6e-415b-b6ad-80279e33744f","N/A","Este auto eléctrico cuesta 122,000 pesos porque no incluye batería. Te la rentan por 7,500 pesos cada 15,000 km y sería un éxito en México","N/A","Pablo Monroy Pablo Monroy Quizá no lo sabías, pero India ya es hoy por hoy el t ercer mayor mercado automotriz, incluido el del coche eléctrico, a escala internacional. Con 1,463 millones de consumidore s, supera por población a China y, como en este país, también llegó, aunque a menor escala, el...","N/A","/logo.png","N/A","2026-02-23T23:42:50Z","Nacional","bitacoraurbana",,"Quizá no lo sabías, pero India ya es hoy por hoy el t ercer mayor mercado automotriz, incluido el del coche eléctrico, a escala internacional. Con 1,463 millones de consumidore s, supera por población",NO,NO
PARAFRASEADO,"49f705b9-3f86-4738-8d94-d2eda65498e9","76a92514-9bec-441d-91d9-892599bbc7ca","N/A","Esta pick-up demuestra que trabajo y aventura pueden convivir.","N/A","Mazda BT-50 llegó al mercado mexicano como la propuesta de la marca en el competido segmento de las pick-ups medianas. Más de un año después de su lanzamiento, esta unidad accesorizada nos permite entender con mayor claridad su verdadera vocación: ser una herramienta de trabajo robusta que también p...","N/A","/logo.png","N/A","2026-02-23T23:39:53Z","Nacional","nodoinformativo",,"Mazda BT-50 llegó al mercado mexicano como la propuesta de la marca en el competido segmento de las pick-ups medianas. Más de un año después de su lanzamiento, esta unidad accesorizada nos permite ent",NO,NO
PARAFRASEADO,"a20fd1a3-d1fc-4642-b6b8-932ea5e1dacf","b20c3103-a554-410b-bd72-3876d94b911b","N/A","Estados Unidos pide cadena perpetua para presunto líder del Cártel de Sinaloa enviado por México","N/A","Fidel Félix Ochoa fue enviado por el gobierno mexicano el 20 de enero a Estados Unidos fuera del proceso de extradición. Un presunto líder del Cártel de Sinaloa compareció hoy por primera vez ante un tribunal federal de Estados Unidos para enfrentar cargos por liderar una red de narcotráfico a gran...","N/A","/logo.png","N/A","2026-02-23T23:37:36Z","Nacional","cbnnoticias",,"Fidel Félix Ochoa fue enviado por el gobierno mexicano el 20 de enero a Estados Unidos fuera del proceso de extradición. Un presunto líder del Cártel de Sinaloa compareció hoy por primera vez ante un ",NO,NO
PARAFRASEADO,"67dc8b08-d74f-4e95-99eb-a6afb538d9ae","aa70be73-e185-4fd2-8dbd-ab573c2d6f62","N/A","Pensiones: Cómo opera el esquema de fondos generacionales en los principales mercados de referencia","N/A","A través de un oficio de carácter reservado -que fue relevado por DF y confirmado posteriormente por la Superintendencia de Pensiones- el regulador presentó su propuesta preliminar de diseño de los nuevos fondos generacionales, que debutarán en abril de 2027, en reemplazo de los actuales multifondos...","N/A","/logo.png","N/A","2026-02-23T23:30:00Z","Nacional","centralmexico",,"A través de un oficio de carácter reservado -que fue relevado por DF y confirmado posteriormente por la Superintendencia de Pensiones- el regulador presentó su propuesta preliminar de diseño de los nu",NO,NO
PARAFRASEADO,"3c7350db-1590-491c-9a62-cbde10e4ce62","027d3012-bf7f-454b-ae3a-13610c30c747","N/A","Envían 2 mil soldados a Jalisco tras operación contra ‘El Mencho’","N/A","El gobernador de Jalisco, Pablo Lemus, prevé que este martes 24 de febrero se reactive el servicio del transporte público al 100 %. Al menos 2 mil elementos más de la Secretaría de la Defensa Nacional (Defensa) llegaron este lunes a Jalisco para reforzar la seguridad, tras la jornada de violencia d...","N/A","/logo.png","N/A","2026-02-23T23:18:56Z","Nacional","reportecentralmx",,"El gobernador de Jalisco, Pablo Lemus, prevé que este martes 24 de febrero se reactive el servicio del transporte público al 100 %. Al menos 2 mil elementos más de la Secretaría de la Defensa Nacional",NO,NO
PARAFRASEADO,"e61d3f57-a7bc-44ba-9147-c2664e808b86","311431a3-a2de-4db0-8a29-d6a31cf8da8d","N/A","Del ‘Señor de los Cielos’ a ‘El Chapo’: Rafael Amaya actuará en serie producida por Emma Coronel","N/A","Rafael Amaya, protagonista de El Señor de los Cielos, vuelve al universo de las series sobre narcotráfico. En esta ocasión interpreta a Joaquín ‘El Chapo’ Guzmán en una nueva producción televisiva. El actor, quien dio vida a Aurelio Casillas, dio a conocer los primeros detalles del proyecto a tr...","N/A","/logo.png","N/A","2026-02-23T23:13:45Z","Nacional","tvmexico",,"Rafael Amaya, protagonista de El Señor de los Cielos, vuelve al universo de las series sobre narcotráfico. En esta ocasión interpreta a Joaquín ‘El Chapo’ Guzmán en una nueva producción televisiva. El",NO,NO
PARAFRASEADO,"66e17e00-69a1-44bb-91e1-59604b3f4859","ffbd6e76-ef32-4734-9ce9-4c746ed57097","N/A","México: los abrazos rotos","N/A","La ofensiva de Sheinbaum contra 'El Mencho' entierra la política de ""Abrazos, no balazos"" de López Obrador y abre una nueva etapa de choque frontal con el narco El fin de semana concluía con el mundo pendiente de un posible ataque de Estados Unidos contra el Gobierno de Irán, pero el presidente Don...","N/A","/logo.png","N/A","2026-02-23T23:11:56Z","Nacional","radiocinconoticias,verticenoticias,nodoinformativo,cbnnoticias,tvmexico,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx",,"La ofensiva de Sheinbaum contra 'El Mencho' entierra la política de ""Abrazos, no balazos"" de López Obrador y abre una nueva etapa de choque frontal con el narco El fin de semana concluía con el mundo ",NO,NO
PARAFRASEADO,"54d4de19-bbe8-408a-a838-99d63636e189","31cacc3f-6035-495e-9742-c8e08955344a","“El Mencho”: de narcomenudeo a dirigir el cártel más poderoso de México","“El Mencho”: de narcomenudeo a dirigir el cártel más poderoso de México","N/A","“El Mencho”: de narcomenudeo a dirigir el cártel más poderoso de México","https://www.bostonherald.com/wp-content/uploads/2026/02/M201XICO-EL_MENCHO_84896.jpg?w=1024&h=683","https://www.bostonherald.com/wp-content/uploads/2026/02/M201XICO-EL_MENCHO_84896.jpg?w=1024&h=683","2026-02-23T23:06:20Z","2026-02-23T23:06:20Z","POLITICA","radiocinconoticias,cbnnoticias,nodoinformativo,tvmexico,verticenoticias,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx","Por FABIOLA SÁNCHEZ

CIUDAD DE MÉXICO (AP) — Al igual que muchos capos, la vida del mexicano Nemesio Oseguera Cervantes, alias “El Mencho” , estuvo rodeada de misterio hasta el domingo, cuando fue aba","<p>CIUDAD DE MÉXICO (AP) — Al igual que muchos capos, la vida del mexicano Nemesio Oseguera Cervantes, alias “El Mencho”, estuvo rodeada de misterio hasta el domingo, cuando fue abatido en una operaci",SI,SI
PARAFRASEADO,"b4cba7b4-2735-4bcc-9c97-955e24e3b9c4","6029425e-f782-4e19-832d-b2cb0fcd1cc9","La 'Doctrina Donroe' de Trump avanza en México","La 'Doctrina Donroe' de Trump avanza en México","N/A","La 'Doctrina Donroe' de Trump avanza en México","https://e01-phantom-elmundo.uecdn.es/68e4c186df9f388bd5db4e049bcda8d2/crop/0x0/3072x2048/resize/1200/f/webp/assets/multimedia/imagenes/2026/02/23/17718726131662.jpg","https://e01-phantom-elmundo.uecdn.es/68e4c186df9f388bd5db4e049bcda8d2/crop/0x0/3072x2048/resize/1200/f/webp/assets/multimedia/imagenes/2026/02/23/17718726131662.jpg","2026-02-23T21:52:20Z","2026-02-23T21:52:20Z","POLITICA","radiocinconoticias,cbnnoticias,nodoinformativo,tvmexico,verticenoticias,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx","La presidenta Claudia Sheinbaum descabeza al Cartel de Jalisco Nueva Generación, con ayuda de la Inteligencia de Estados Unidos y en respuesta a la presión de Washington para que luche contra el narco","<p>La presidenta Claudia Sheinbaum descabeza al Cartel de Jalisco Nueva Generación, con ayuda de la Inteligencia de Estados Unidos y en respuesta a la presión de Washington para que luche contra el na",SI,SI
PARAFRASEADO,"00430961-2332-49f9-8d4c-02380e2e0637","74dd0291-ff6f-430d-9652-def39b6da24e","La muerte de El Mencho abre una incierta sucesión en el CJNG y desafía la estrategia de Sheinbaum","La muerte de El Mencho abre una incierta sucesión en el CJNG y desafía la estrategia de Sheinbaum","N/A","La muerte de El Mencho abre una incierta sucesión en el CJNG y desafía la estrategia de Sheinbaum","https://resizer.glanacion.com/resizer/v2/un-guardia-patrulla-un-edificio-judicial-en-R6UBI4AK4VCCPNVELGFTKWAGD4.JPG?auth=05c540471bb183e378accce48e677a5588a7e49dbe11fce48c3ebbc95e01068c&width=1200&quality=70&smart=false&height=800","https://resizer.glanacion.com/resizer/v2/un-guardia-patrulla-un-edificio-judicial-en-R6UBI4AK4VCCPNVELGFTKWAGD4.JPG?auth=05c540471bb183e378accce48e677a5588a7e49dbe11fce48c3ebbc95e01068c&width=1200&quality=70&smart=false&height=800","2026-02-23T21:16:42Z","2026-02-23T21:16:42Z","POLITICA","radiocinconoticias,cbnnoticias,nodoinformativo,tvmexico,verticenoticias,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx","CIUDAD DE MÉXICO.– Uno de los capos de la droga más poderosos del mundo fue asesinado , pero la pregunta sigue siendo si su muerte destruirá la organización que él construyó y que trafica cocaína, met","<p>CIUDAD DE MÉXICO.– Uno de los capos de la droga más poderosos del mundo fue asesinado, pero la pregunta sigue siendo si su muerte destruirá la organización que él construyó y que trafica cocaína, m",SI,SI
PARAFRASEADO,"9c085e33-b162-40cf-8db1-403edb3fcc31","c1cd01ec-63de-4d24-9c9a-7282606c1c8e","N/A","El arte, la conexión entre los futbolistas que se vuelven actores","N/A","Foto: Internet Se dice que las carreras futbolísticas son muy cortas, algunos de los mejores se retiran en sus cuarentas, pero tal vez ésta sea una percepción de visión corta, tomando en cuenta que la mayoría de ellos empiezan siendo apenas infantes, pueden pasar literalmente 40 años pateando un b...","N/A","/logo.png","N/A","2026-02-23T20:58:46Z","Nacional","radiocinconoticias,cbnnoticias,nodoinformativo,tvmexico,verticenoticias,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx",,"Se dice que las carreras futbolísticas son muy cortas, algunos de los mejores se retiran en sus cuarentas, pero tal vez ésta sea una percepción de visión corta, tomando en cuenta que la mayoría de ell",NO,NO
PARAFRASEADO,"e72eb5c7-97b4-40a3-b6ba-78804a306dbc","92d2a4b2-a1e5-4d96-b1e5-9fa4a07510e1","Violencia desmedida y control del narcotráfico: radiografía del Cártel de Jalisco Nueva Generación","Violencia desmedida y control del narcotráfico: radiografía del Cártel de Jalisco Nueva Generación","N/A","Internacional África Albalá Estados con las clases suspendidas, gabinetes de emergencia convocados, miles de soldados desplegados en las calles y vuelos suspendidos. Son algunas de las medidas adoptadas este lunes en México para tratar de frenar la ola de violencia que azota el país tras la caída...","N/A","/logo.png","2026-02-23T20:15:17Z","2026-02-23T20:15:17Z","Nacional","centralmexico","Internacional

África Albalá

Estados con las clases suspendidas, gabinetes de emergencia convocados, miles de soldados desplegados en las calles y vuelos suspendidos. Son algunas de las medidas adopt","Internacional África Albalá Estados con las clases suspendidas, gabinetes de emergencia convocados, miles de soldados desplegados en las calles y vuelos suspendidos. Son algunas de las medidas adoptad",NO,SI
PARAFRASEADO,"cd8bf96c-1a49-40a7-b1ef-d2bc9cd1e1eb","88ba8541-3bcd-4e9e-a11a-a07e83731ef3","Premier de Ontario dice que a Trump “se le cierra el cerco” tras fallo arancelario de Corte Suprema","Premier de Ontario dice que a Trump “se le cierra el cerco” tras fallo arancelario de Corte Suprema","N/A","Premier de Ontario dice que a Trump “se le cierra el cerco” tras fallo arancelario de Corte Suprema","https://www.bostonherald.com/wp-content/uploads/2018/11/Herald_BridgePhoto.jpg","https://www.bostonherald.com/wp-content/uploads/2018/11/Herald_BridgePhoto.jpg","2026-02-23T19:07:56Z","2026-02-23T19:07:56Z","POLITICA","radiocinconoticias,cbnnoticias,nodoinformativo,tvmexico,verticenoticias,bitacoraurbana,mexicoinformado,noticiasobjetivo,centralmexico,reportecentralmx","Por ROB GILLIES

TORONTO (AP) — Al presidente Donald Trump “se le cierra el cerco” luego que la Corte Suprema de Estados Unidos anuló muchos de los aranceles del mandatario estadounidense, afirmó el l","<p>TORONTO (AP) — Al presidente Donald Trump “se le cierra el cerco” luego que la Corte Suprema de Estados Unidos anuló muchos de los aranceles del mandatario estadounidense, afirmó el lunes el primer",SI,SI
